"Location","Label","Namespace","Preview"
"1410a45c8","vftable","EventCameraOperator","vftable"
"1410a4648","vftable","TPXFixedCollisionCollector<1>","vftable"
"1410a4968","vftable","GrapplerCameraOperator","vftable"
"1410a4a98","vftable","MenuCameraOperator","vftable"
"1410a4b38","vftable","AppDebugManager","vftable"
"1410a4b60","vftable","MorphemeTimeActEventHandler","vftable"
"1410a4ec0","vftable","Memory","vftable"
"1410a4ed8","vftable","AppDecalResourceObject","vftable"
"1410a4fc8","vftable","DLRF::DLRuntimeClassImpl<class_AppDecalResourceObject,0>","vftable"
"1410a5030","vftable","TTypeMemory<15>","vftable"
"1410a5078","vftable","AppBlackOutFilter","vftable"
"1410a5138","vftable","GXDrawItem","vftable"
"1410a5148","vftable","AppDrawVolumeFog","vftable"
"1410a5218","vftable","AppFogFilter","vftable"
"1410a5230","vftable","MetaInfoRangeBase","vftable"
"1410a5240","vftable","MetaInfoBase","vftable"
"1410a5250","vftable","MetaInfo<bool,bool,11,0,1>","vftable"
"1410a5260","vftable","MetaInfoParam<float>","vftable"
"1410a5270","vftable","MetaInfoParam<unsigned_char>","vftable"
"1410a5280","vftable","MetaInfoVectorColor32","vftable"
"1410a52a0","vftable","MetaInfo<float,float,9,0,1>","vftable"
"1410a53c0","vftable","MetaInfoParam<int>","vftable"
"1410a53d0","vftable","MetaInfo<int,int,3,0,1>","vftable"
"1410a5600","vftable","AppLightFilter","vftable"
"1410a5618","vftable","MetaInfoDLVector4ALColor_A2","vftable"
"1410a5628","vftable","MetaInfoDLVector4ALColor_A8","vftable"
"1410a5638","vftable","MetaInfoDLVector2ALYawPitch","vftable"
"1410a5648","vftable","MetaInfoCallbackObjectBase","vftable"
"1410a58d8","vftable","MetaInfoCallbackObject_1<class_AppLightFilter,unsigned_int>","vftable"
"1410a58f8","vftable","MetaInfoCallbackObject<class_AppLightFilter>","vftable"
"1410a5988","vftable","AppVignettingFilter","vftable"
"1410a59a0","vftable","MetaInfoDLVector4ALColor","vftable"
"1410a5a48","vftable","AppVolumeFogFilter","vftable"
"1410a5b28","vftable","AppFgCopyCtrl","vftable"
"1410a5b88","vftable","AppFgCopyFlver","vftable"
"1410a5c98","vftable","AppFgVertexMoveInfo","vftable"
"1410a5ca8","vftable","FrontendEx::FexTextTabSpec","vftable"
"1410a5d70","vftable","DLUT::DLReferenceCountObject","vftable"
"1410a5d98","vftable","FeGroupBase","vftable"
"1410a5e90","vftable","FrontendEx::SceneFrameCtrl","vftable"
"1410a5ea8","vftable","FeFixResultJob","vftable"
